fecha,base_monetaria,brecha_usd,cer,inflacion,leliq,reservas,tasa_depositos_30_dias,tasa_pase_pasivas_1_dia,usd_general,usd_minorista,usd_oficial,uva
2014-01-31,367683.95454545453,63.07334545454545,3.542832258064516,3.6,,29507.545454545456,18.842272727272725,9.0,11.554545454545455,7.20090909090909,7.097727272727273,
2014-02-28,346347.45,51.643755,3.6183107142857147,3.4,,27666.05,21.692,9.0,11.914,7.948,7.856,
2014-03-31,351947.3333333333,37.44531666666667,3.745693548387097,2.6,,27310.555555555555,21.825000000000003,9.0,10.901111111111112,8.003333333333334,7.9316666666666675,
2014-04-30,353400.4210526316,31.50657894736842,3.86353,1.8,,27686.052631578947,22.376842105263158,9.0,10.520526315789473,8.07736842105263,8.0,
2014-05-31,353714.55,39.477805000000004,3.953641935483871,1.4,,28403.7,21.444,9.0,11.219,8.1095,8.0425,
2014-06-30,367175.75,46.5664,4.02016,1.3,,28862.25,20.717,9.0,11.908,8.191999999999998,8.124500000000001,
2014-07-31,383292.36363636365,50.97414545454546,4.0761,1.4,,29480.409090909092,20.069090909090907,9.0,12.32,8.22090909090909,8.16,
2014-08-31,390848.35,60.933905,4.130806451612903,1.3,,28856.2,19.4565,9.0,13.386000000000001,8.3765,8.3155,
2014-09-30,395684.86363636365,76.01404090909091,4.1884966666666665,1.4,,28290.68181818182,18.88909090909091,9.0,14.818181818181818,8.491818181818182,8.418181818181818,
2014-10-31,400749.6818181818,74.32710909090909,4.244996774193548,1.2,,27586.363636363636,19.666363636363638,12.636363636363637,14.783181818181818,8.544545454545455,8.480454545454545,
2014-11-30,408524.22222222225,57.1428,4.30144,1.1,,28497.88888888889,20.07,13.0,13.385263157894736,8.576666666666666,8.51388888888889,
2014-12-31,442969.6842105263,53.216905555555556,4.353187096774194,1.0,,30119.36842105263,20.670526315789473,13.0,13.096666666666668,8.602631578947367,8.547894736842105,
2015-01-31,453011.4285714286,59.25055714285715,4.400383870967742,1.1,,31272.04761904762,19.60904761904762,13.0,13.699047619047619,8.664285714285715,8.602380952380953,
2015-02-28,450330.8888888889,51.46817222222222,4.446321428571428,0.9,,31342.944444444445,20.479444444444443,13.0,13.155555555555557,8.746111111111112,8.685555555555556,
2015-03-31,453198.1,46.25007,4.493364516129032,1.3,,31431.2,20.4965,13.0,12.838999999999999,8.841,8.779,
2015-04-30,456458.65,42.40903,4.541286666666666,1.1,,31998.8,20.563499999999998,13.0,12.625499999999999,8.927,8.8655,
