d,v
2007-01-10,6.25
2007-01-11,6.25
2007-01-12,6.25
2007-01-15,6.25
2007-01-16,6.25
2007-01-17,6.25
2007-01-18,6.25
2007-01-19,6.25
2007-01-22,6.25
2007-01-23,6.25
2007-01-24,6.25
2007-01-25,6.25
2007-01-26,6.25
2007-01-29,6.25
2007-01-30,6.25
2007-01-31,6.25
2007-02-01,6.25
2007-02-02,6.25
2007-02-05,6.25
2007-02-06,6.25
2007-02-07,6.25
2007-02-08,6.25
2007-02-09,6.5
2007-02-12,6.5
2007-02-13,6.5
2007-02-14,6.5
2007-02-15,6.5
2007-02-16,6.5
2007-02-19,6.5
2007-02-20,6.5
2007-02-21,6.5
2007-02-22,6.5
2007-02-23,6.5
2007-02-26,6.5
2007-02-27,6.5
2007-02-28,6.5
2007-03-01,6.5
2007-03-02,6.5
2007-03-05,6.5
2007-03-06,6.5
2007-03-07,6.5
2007-03-08,6.5
2007-03-09,6.5
2007-03-12,6.5
2007-03-13,6.5
2007-03-14,6.75
2007-03-15,6.75
2007-03-16,6.75
2007-03-19,6.75
2007-03-20,6.75
2007-03-21,6.75
2007-03-22,6.75
2007-03-23,6.75
2007-03-26,6.75
2007-03-27,6.75
2007-03-28,6.75
2007-03-29,6.75
2007-03-30,6.75
2007-04-03,6.75
2007-04-04,6.75
2007-04-09,6.75
2007-04-10,6.75
2007-04-11,6.75
2007-04-12,6.75
2007-04-13,6.75
2007-04-16,6.75
2007-04-17,6.75
2007-04-18,6.75
2007-04-19,6.75
2007-04-20,6.75
2007-04-23,6.75
2007-04-24,6.75
2007-04-25,6.75
2007-04-26,6.75
2007-04-27,6.75
2007-04-30,6.75
2007-05-02,7.0
2007-05-03,7.0
2007-05-04,7.0
2007-05-07,7.0
2007-05-08,7.0
2007-05-09,7.0
2007-05-10,7.0
2007-05-11,7.0
2007-05-14,7.0
2007-05-15,7.0
2007-05-16,7.0
2007-05-17,7.0
2007-05-18,7.0
2007-05-21,7.0
2007-05-22,7.0
2007-05-23,7.0
2007-05-24,7.0
2007-05-28,7.0
2007-05-29,7.0
2007-05-30,7.0
2007-05-31,7.0
2007-06-01,7.0
2007-06-04,7.0
2007-06-05,7.0
2007-06-06,7.0
2007-06-07,7.0
2007-06-08,7.0
2007-06-11,7.0
2007-06-12,7.0
2007-06-13,7.25
2007-06-14,7.25
2007-06-15,7.25
2007-06-19,7.25
